Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Malamar (Shadow),89.3,687,dark,psychic,117.2,116.6,139,1899127,23.5,1493,Psywave,Foul Play,Superpower,10,10,3,50000
Morpeko (Full Belly),89.3,877,electric,dark,140.5,96.3,118,1596126,28.5,1499,Thunder Shock,Aura Wheel,Psychic Fangs,5,4,3,50000
Ninetales (Alolan),89.3,38,ice,fairy,114.5,136.1,125,1948701,24,1497,Powder Snow,Weather Ball (Ice),Chilling Water*,5,6,3,50000
Politoed (Shadow),89.3,186,water,none,114,124.3,139,1970072,23,1498,Mud Shot,Weather Ball (Water),Ice Beam*,4,7,3,50000
Charjabug (Shadow),89.2,737,bug,electric,114.8,134.8,126,1949448,36.5,1497,Volt Switch*,X-Scissor,Discharge,3,3,1,10000
Marowak (Shadow),89.2,105,ground,none,109.6,148.9,125,2040576,31.5,1496,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Dusknoir,89.1,477,ghost,none,119.8,174.2,90,1878255,23.5,1500,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Milotic,89.1,350,water,none,113.2,133.9,131,1985080,18.5,1498,Waterfall,Aqua Tail,Wrap,4,5,5,75000
Milotic (Shadow),89.1,350,water,none,113.2,133.9,131,1985080,18.5,1498,Waterfall,Aqua Tail,Wrap,4,5,5,75000
Ninetales (Alolan) (Shadow),89.1,38,ice,fairy,114.5,136.1,125,1948701,24,1497,Powder Snow,Weather Ball (Ice),Chilling Water*,5,6,3,50000
Seaking,89.1,119,water,none,121.9,109,138,1833820,26,1500,Peck,Drill Run*,Icy Wind*,6,6,3,50000
Mandibuzz,89,630,dark,flying,92.1,151.3,175,2439745,26.5,1500,Snarl,Foul Play,Shadow Ball,4,4,5,75000
Morgrem,89,860,dark,fairy,124.8,98,147,1798764,49.5,1500,Sucker Punch,Foul Play,Play Rough,6,9,5,50000
Gourgeist (Large),88.9,711,ghost,grass,115.9,137.2,122,1940488,22,1500,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Lumineon,88.9,457,water,none,109,137.4,137,2052476,32.5,1498,Waterfall,Aqua Tail,Silver Wind,4,5,3,50000
Gourgeist (Super),88.8,711,ghost,grass,115.1,131.6,129,1953944,21,1500,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Grumpig,88.8,326,psychic,none,113.3,131.5,132,1966510,23.5,1497,Psywave,Dynamic Punch,Shadow Ball,12,13,1,10000
Bastiodon,88.7,411,rock,steel,80.6,247.7,139,2775875,46.5,1496,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Gourgeist (Average),88.7,711,ghost,grass,115.9,145.1,115,1933691,23.5,1498,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Grumpig (Shadow),88.7,326,psychic,none,113.3,131.5,132,1966510,23.5,1497,Psywave,Dynamic Punch,Shadow Ball,12,13,1,10000
Shelgon (Shadow),88.7,372,dragon,none,123.3,119.1,123,1806077,27.5,1498,Dragon Breath,Twister,Flamethrower,10,14,5,75000
Hydreigon (Shadow),88.6,635,dark,dragon,136.1,104.5,116,1649711,15,1500,Dragon Breath,Brutal Swing*,Fly,9,12,5,75000
Kingdra,88.6,230,water,dragon,121.8,127.9,118,1839109,21,1497,Dragon Breath,Swift,Outrage,9,15,3,50000
Noctowl,88.6,164,normal,flying,105.3,120.2,168,2126381,28,1500,Wing Attack,Sky Attack,Shadow Ball,7,7,1,10000
Turtonator,88.6,776,fire,dragon,113.5,153.6,113,1971162,25,1499,Incinerate,Brutal Swing,Dragon Claw,2,3,5,75000
Umbreon,88.6,197,dark,none,90.2,177,156,2491764,27,1500,Snarl,Foul Play,Last Resort*,4,5,5,75000
Bellibolt,88.5,939,electric,none,115.1,110.2,154,1952887,21,1500,Thunder Shock,Zap Cannon,Parabolic Charge,9,6,1,50000
Dragonair,88.5,148,dragon,none,125.2,112.5,127,1788369,33,1499,Dragon Breath,Aqua Tail,Dragon Pulse,9,14,5,75000
Dragonair (Shadow),88.5,148,dragon,none,125.2,112.5,127,1788369,33,1499,Dragon Breath,Wrap,Aqua Tail,12,9,5,75000
Murkrow,88.5,198,dark,flying,143.2,81.1,135,1567720,41,1499,Peck,Drill Peck,Foul Play,5,5,3,50000
Samurott,88.5,503,water,none,128,100.9,136,1756037,19.5,1500,Fury Cutter,Hydro Cannon*,Megahorn,10,14,3,10000
Sandslash (Alolan),88.5,28,ice,steel,116,133.3,125,1931513,23,1499,Powder Snow,Ice Punch,Drill Run,5,6,3,50000
Cresselia,88.4,488,psychic,none,93.2,160.7,160,2396223,20,1497,Psycho Cut,Grass Knot*,Moonblast,6,7,20,100000
Lanturn,88.4,171,water,electric,104.8,105.5,194,2145463,27,1500,Water Gun,Surf,Thunderbolt,15,19,3,50000
Primeape (Shadow),88.4,57,fighting,none,138.7,100.1,116,1611459,24,1498,Karate Chop*,Rage Fist*,Ice Punch,4,5,3,50000
Scizor (Shadow),88.4,212,bug,steel,137.9,112,105,1622257,18.5,1500,Bullet Punch,Night Slash,Trailblaze,5,7,5,75000
Spidops,88.4,918,bug,none,111,138.9,131,2019559,37.5,1497,Shadow Claw,Lunge,Rock Tomb,6,7,1,50000
Toucannon (Shadow),88.4,733,normal,flying,137.3,96.8,123,1634212,20.5,1500,Peck,Beak Blast*,Drill Peck,7,5,1,10000
Doublade,88.3,680,steel,ghost,122.9,140,106,1824726,22.5,1500,Shadow Claw,Sacred Sword,Gyro Ball,5,7,5,75000
Drapion,88.3,452,poison,dark,117.9,136.9,118,1903472,22.5,1500,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Gourgeist (Small),88.3,711,ghost,grass,116.9,153,107,1913042,25,1499,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Ninetales (Shadow),88.2,38,fire,none,114.4,135.5,126,1953716,24.5,1496,Ember*,Weather Ball (Fire),Overheat,4,7,3,50000
Aurorus,88.1,699,rock,ice,113.5,106.3,164,1979465,20,1500,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Gligar (Shadow),88.1,207,ground,flying,108.5,145.3,131,2064887,31,1498,Wing Attack,Night Slash,Dig,5,7,5,75000
Miltank,88.1,241,normal,none,105.4,134.8,150,2130680,24,1500,Rollout,Body Slam,Thunderbolt,3,5,5,75000
Swalot,88.1,317,poison,none,103.4,122.7,171,2169090,28.5,1498,Mud Shot,Sludge,Ice Beam,5,7,1,10000
Weezing (Galarian) (Shadow),88.1,110,poison,fairy,117.7,139.5,116,1904809,24.5,1499,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Gligar,88,207,ground,flying,108.5,145.3,131,2064887,31,1498,Wing Attack,Night Slash,Dig,5,7,5,75000
Hydreigon,88,635,dark,dragon,136.1,104.5,116,1649711,15,1500,Dragon Breath,Brutal Swing*,Fly,9,12,5,75000
Ludicolo,88,272,water,grass,116.5,123.7,134,1930725,24,1500,Astonish,Weather Ball (Water),Leaf Storm,4,6,3,50000
Pachirisu,88,417,electric,none,91.6,157.1,142,2043738,50,1372,Volt Switch,Hyper Fang,Thunder Punch,4,3,5,75000
Wormadam (Trash),88,413,bug,steel,105,151.1,135,2141526,41,1500,Sucker Punch,Bug Buzz,Iron Head,9,8,1,10000
Dewott (Shadow),87.9,502,water,none,124.1,99.8,146,1808108,35,1499,Fury Cutter,Aqua Tail,X-Scissor,9,10,3,10000
Bronzong,87.8,437,steel,psychic,110.9,152.3,120,2026242,25,1500,Confusion,Weather Ball (Water),Payback,3,5,3,50000
Crustle,87.8,558,bug,rock,120.3,134.7,115,1863686,22,1499,Fury Cutter,X-Scissor,Rock Wrecker,10,13,1,10000
Samurott (Shadow),87.8,503,water,none,128,100.9,136,1756037,19.5,1500,Fury Cutter,Hydro Cannon*,Megahorn,10,14,3,10000
Toucannon,87.8,733,normal,flying,137.3,96.8,123,1634212,20.5,1500,Peck,Beak Blast*,Drill Peck,7,5,1,10000
Greninja (Shadow),87.7,658,water,dark,139.6,100.4,115,1611397,21,1500,Water Shuriken,Hydro Cannon*,Night Slash,3,3,3,10000
Pelipper,87.7,279,water,flying,123.3,128.7,115,1825336,26,1500,Wing Attack,Weather Ball (Water),Hurricane,5,9,3,50000
Politoed,87.6,186,water,none,114,124.3,139,1970072,23,1498,Mud Shot,Weather Ball (Water),Ice Beam*,4,7,3,50000
Fearow,87.5,22,normal,flying,131.5,104.6,124,1705662,28,1500,Peck,Drill Peck,Drill Run,5,6,1,10000
Togekiss,87.5,468,fairy,flying,124.3,125.9,115,1799029,16.5,1498,Peck,Psyshock,Aura Sphere*,5,5,3,50000
Annihilape (Shadow),87.4,979,fighting,ghost,123.4,105.2,140,1817129,17,1499,Counter,Rage Fist*,Ice Punch,6,7,3,50000
Emolga,87.2,587,electric,flying,127.6,110.2,125,1758025,39.5,1498,Thunder Shock,Acrobatics,Discharge,7,5,1,10000
Kingdra (Shadow),87.2,230,water,dragon,121.8,127.9,118,1839109,21,1497,Dragon Breath,Swift,Outrage,9,15,3,50000
Primeape,87.2,57,fighting,none,138.7,100.1,116,1611459,24,1498,Karate Chop*,Rage Fist*,Close Combat,4,5,3,50000
Blastoise (Shadow),87.1,9,water,none,112.1,137.7,130,2007546,23,1500,Rollout,Hydro Cannon*,Skull Bash,4,6,3,10000
Crustle (Shadow),87.1,558,bug,rock,120.3,134.7,115,1863686,22,1499,Fury Cutter,X-Scissor,Rock Wrecker,10,13,1,10000
Hakamo-o,87.1,783,dragon,fighting,115.5,135.6,124,1942416,36.5,1498,Dragon Tail,Brick Break,Rock Tomb,4,5,5,75000
Thievul,87.1,828,dark,none,119.9,121.9,127,1856410,26,1494,Sucker Punch,Night Slash,Play Rough,5,9,1,10000
Klefki,87,707,steel,fairy,118,137.4,117,1896718,29,1497,Astonish,Foul Play,Play Rough,4,6,3,50000
Weezing (Galarian),87,110,poison,fairy,117.7,139.5,116,1904809,24.5,1499,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Castform (Rainy),86.9,351,water,none,112.6,121.3,146,1993800,39.5,1500,Water Gun,Weather Ball (Water),Thunder,12,20,5,75000
Giratina (Altered) (Shadow),86.9,487,ghost,dragon,105.3,125,159,2092849,16,1487,Dragon Breath,Dragon Claw,Shadow Sneak,13,13,20,100000
Kommo-o,86.9,784,dragon,fighting,123.7,137.8,106,1807554,16.5,1497,Dragon Tail,Clanging Scales*,Upper Hand,4,4,5,75000
Murkrow (Shadow),86.9,198,dark,flying,143.2,81.1,135,1567720,41,1499,Peck,Drill Peck,Foul Play,5,5,3,50000
Sandslash (Alolan) (Shadow),86.9,28,ice,steel,116,133.3,125,1931513,23,1499,Powder Snow,Ice Punch,Drill Run,5,6,3,50000
Carbink,86.8,703,rock,fairy,84,252.1,126,2669074,50,1497,Rock Throw,Rock Slide,Moonblast,9,12,5,75000
Gyarados,86.8,130,water,flying,130.8,108.5,121,1717312,16.5,1498,Dragon Breath,Aqua Tail*,Twister,9,10,1,10000
Dewott,86.7,502,water,none,122.6,99.8,149,1822620,35,1496,Fury Cutter,Aqua Tail,X-Scissor,9,10,3,10000
Dragalge,86.7,691,poison,dragon,117.9,143.1,113,1906032,23.5,1500,Acid,Aqua Tail,Outrage,5,8,3,50000
Orthworm,86.7,968,steel,none,109.1,154.1,122,2050646,24.5,1497,Mud Slap,Rock Tomb,Earthquake,5,7,5,75000
Diggersby (Shadow),86.6,660,normal,ground,95.7,140.3,174,2337114,47,1499,Mud Shot,Scorching Sands,Fire Punch,6,5,1,10000
Pidgeot,86.6,18,normal,flying,116.9,115.5,142,1917898,26.5,1499,Wing Attack*,Air Cutter*,Brave Bird,5,7,1,10000
Primarina,86.6,730,water,fairy,131.6,115.7,112,1705342,17,1500,Waterfall,Disarming Voice,Hydro Cannon*,5,4,3,10000
Araquanid,86.5,752,water,bug,97.4,174,136,2306355,32,1499,Bug Bite,Water Pulse,Bubble Beam,17,14,3,50000
Raikou,86.5,243,electric,none,132,110.6,116,1693495,16,1498,Thunder Shock,Wild Charge,Aura Sphere,5,5,20,100000
Amoonguss,86.4,591,grass,poison,109.3,105.9,177,2049605,26.5,1498,Astonish,Grass Knot,Foul Play,5,4,3,50000
Gyarados (Shadow),86.4,130,water,flying,130.8,108.5,121,1717312,16.5,1498,Dragon Breath,Aqua Tail*,Twister,9,10,1,10000
Melmetal,86.4,809,steel,none,121,105.2,146,1857750,15.5,1500,Thunder Shock,Double Iron Bash*,Superpower,4,5,20,100000
Regidrago,86.4,895,dragon,none,121.9,62.7,241,1842328,20,1499,Dragon Breath*,Dragon Energy*,Vise Grip,12,10,20,100000
Goodra,86.3,706,dragon,none,119.7,134.1,117,1878306,16,1499,Dragon Breath,Aqua Tail,Thunder Punch*,9,10,5,75000
Machamp (Shadow),86.3,68,fighting,none,135.5,98.6,124,1656376,18,1498,Karate Chop*,Cross Chop,Rock Slide,4,5,3,50000
Spiritomb,86.3,442,ghost,dark,120.8,147.9,104,1857210,27,1498,Sucker Punch,Rock Tomb,Shadow Ball,8,8,5,75000
Steelix,86.3,208,steel,ground,98.4,183.3,126,2272944,23.5,1497,Thunder Fang,Psychic Fangs,Crunch,6,8,5,75000
Walrein,86.3,365,ice,water,112.5,114.9,154,1990879,20.5,1500,Powder Snow*,Icicle Spear*,Earthquake,5,9,3,50000
Zweilous,86.3,634,dark,dragon,120.5,110.2,140,1859224,30.5,1498,Dragon Breath,Body Slam,Dark Pulse,9,13,5,75000
Cradily,86.2,346,rock,grass,105.2,140.3,144,2126277,25.5,1497,Bullet Seed,Rock Tomb,Grass Knot,4,4,3,50000
Dewgong,86.2,87,water,ice,102,136.9,157,2192411,28.5,1498,Ice Shard*,Icy Wind*,Drill Run,5,5,3,50000
Dudunsparce,86.2,982,normal,none,116.1,98.6,169,1934787,20.5,1500,Rollout,Body Slam,Drill Run,3,4,3,50000
Gallade (Shadow),86.2,475,psychic,fighting,136.6,115.6,104,1642368,18,1499,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Greninja,86.2,658,water,dark,139.6,100.4,115,1611397,21,1500,Water Shuriken,Hydro Cannon*,Night Slash,3,3,3,10000
Solrock,86.2,338,rock,psychic,119.1,108.6,145,1876210,24,1496,Psywave,Weather Ball (Fire),Rock Slide,9,12,3,50000
Araquanid (Shadow),86.1,752,water,bug,97.4,174,136,2306355,32,1499,Bug Bite,Bubble Beam,Water Pulse,14,17,3,50000
Marowak (Alolan),86.1,105,fire,ghost,109.6,148.9,125,2040576,31.5,1496,Fire Spin,Bone Club,Shadow Bone*,4,5,3,50000
Torkoal,86.1,324,fire,none,107.6,151.3,128,2083996,27,1499,Ember,Flame Wheel,Overheat,5,7,3,50000
Toxapex,86.1,748,poison,water,91.9,224.3,118,2433080,38,1497,Poison Jab,Brine,Sludge Wave,8,10,3,50000
Zweilous (Shadow),86,634,dark,dragon,120.5,110.2,140,1859224,30.5,1498,Dragon Breath,Body Slam,Dark Pulse,9,13,5,75000
Aurorus (Shadow),85.9,699,rock,ice,113.5,106.3,164,1979465,20,1500,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Dubwool,85.9,832,normal,none,110.6,143,128,2025159,25.5,1497,Double Kick,Body Slam,Payback,3,5,3,10000
Hippowdon,85.9,450,ground,none,116.2,116.8,142,1926191,18,1500,Sand Attack,Weather Ball (Rock),Scorching Sands,9,13,3,50000
Lickitung,85.9,108,normal,none,96.6,127.7,186,2295742,50,1491,Lick,Body Slam*,Power Whip,12,17,3,50000
Linoone,85.9,264,normal,none,114.1,111.8,154,1965124,38.5,1497,Shadow Claw,Swift,Grass Knot,5,7,1,10000
Marowak,85.9,105,ground,none,109.6,148.9,125,2040576,31.5,1496,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Metang,85.9,375,steel,psychic,109,145.8,129,2049614,36,1498,Fury Cutter,Psyshock,Gyro Ball,10,13,5,75000
Metang (Shadow),85.9,375,steel,psychic,109,145.8,129,2049614,36,1498,Fury Cutter,Psyshock,Gyro Ball,10,13,5,75000
Gogoat,85.8,673,grass,none,119.7,95,165,1876484,19.5,1499,Vine Whip,Leaf Blade,Rock Slide,5,6,3,50000
Marowak (Alolan) (Shadow),85.8,105,fire,ghost,109.6,148.9,125,2040576,31.5,1496,Fire Spin,Shadow Bone*,Bone Club,5,4,3,50000
Pangoro,85.8,675,fighting,dark,133.9,93.7,133,1669812,19,1500,Karate Chop,Close Combat,Night Slash,5,4,3,50000
Tentacruel,85.8,73,water,poison,108.9,143.5,131,2047453,23,1495,Acid,Scald,Payback,7,8,3,50000
Ampharos,85.7,181,electric,none,126.8,107.9,129,1766112,19.5,1497,Volt Switch,Brutal Swing,Trailblaze,3,3,5,75000
Claydol,85.7,344,ground,psychic,103.6,172.7,121,2164207,29,1500,Mud Slap,Rock Tomb,Shadow Ball,5,5,3,50000
Dartrix,85.7,723,grass,flying,112.5,115.5,154,2001159,36.5,1500,Peck,Brave Bird,Seed Bomb,7,5,3,10000
Hippowdon (Shadow),85.7,450,ground,none,116.2,116.8,142,1926191,18,1500,Sand Attack,Weather Ball (Rock),Scorching Sands,9,13,3,50000
Abomasnow (Shadow),85.6,460,grass,ice,117.9,112,143,1888173,23.5,1495,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Dodrio,85.6,85,normal,flying,143.8,98.4,110,1556601,23.5,1496,Peck,Drill Peck,Brave Bird,5,7,3,50000
Latias,85.6,380,dragon,psychic,124.5,138.9,104,1798959,16,1498,Dragon Breath,Aura Sphere,Mist Ball*,10,15,20,100000
Walrein (Shadow),85.6,365,ice,water,112.5,114.9,154,1990879,20.5,1500,Powder Snow*,Icicle Spear*,Earthquake,5,9,3,50000
Golisopod,85.5,768,bug,water,124.1,134.7,108,1804489,17.5,1499,Shadow Claw,Aqua Jet,X-Scissor,5,5,1,10000
Abomasnow,85.3,460,grass,ice,117.9,112,143,1888173,23.5,1495,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Bellossom,85.3,182,grass,none,115.1,132.2,128,1947512,24.5,1498,Acid,Leaf Blade,Dazzling Gleam,5,7,3,50000
Machoke (Shadow),85.2,67,fighting,none,126.8,97.4,143,1765627,27.5,1499,Karate Chop,Cross Chop*,Dynamic Punch,4,5,3,50000
Mawile,85.2,303,steel,fairy,124.8,120.8,119,1793917,39,1497,Fairy Wind,Vise Grip,Iron Head,5,6,5,75000
Raichu,85.2,26,electric,none,133.6,110.6,114,1684547,25.5,1500,Thunder Shock,Wild Charge,Trailblaze,5,5,1,10000
Toedscruel,85.1,949,ground,grass,108.9,143.5,131,2047453,23,1495,Mud Slap,Seed Bomb,Wrap,4,5,3,50000
Togetic,85.1,176,fairy,flying,110.2,150.2,123,2035132,36.5,1498,Fairy Wind,Psyshock,Heat Wave,5,5,3,50000
Cradily (Shadow),85,346,rock,grass,105.2,140.3,144,2126277,25.5,1497,Acid,Rock Tomb,Grass Knot,7,7,3,50000
Lunatone,84.9,337,rock,psychic,119.1,108.6,145,1876210,24,1496,Psywave,Weather Ball (Ice),Rock Slide,9,12,3,50000
Qwilfish (Hisuian),84.9,211,dark,poison,128.1,112.4,121,1741533,26,1494,Poison Sting,Aqua Tail,Shadow Ball,4,6,3,50000
Registeel,84.9,379,steel,none,95.7,190.1,129,2346311,22.5,1499,Lock On,Focus Blast,Zap Cannon*,15,16,20,100000
Hypno,84.8,97,psychic,none,103.4,143,147,2174050,27,1500,Confusion,Shadow Ball,Thunder Punch,4,3,3,50000
